Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYX81,054,Batman: Arkham Asylum Batmobile (2nd Color),Batman,2/5,Picture,2025_Batman_102.jpg,,,
2025,HYX05,055,Humvee,HW Dirt,1/10,Picture,2025_HW_Dirt_103.jpg,,,
2025,HYX26,056,'70 Dodge Power Wagon,HW Dirt,2/10,Picture,2025_HW_Dirt_104.jpg,,,
2025,JBC22,057,Mailed It!,HW MetroTreasure Hunt,3/5,Picture,2025_HW_MetroTreasure_Hunt_105.jpg,,,
2025,HYW21,058,Maserati Shamal,HW MetroNew for 2025!,4/5,Picture,2025_HW_MetroNew_for_2025!_106.jpg,,,
2025,HYX76,058,Maserati Shamal (2nd Color),HW MetroNew for 2025!,4/5,Picture,2025_HW_MetroNew_for_2025!_107.jpg,,,
2025,HYW10,059,Oracle Red Bull Racing,Track AcesNew for 2025!,1/5,Picture,2025_Track_AcesNew_for_2025!_108.jpg,,,
2025,JBC07,059,Williams Racing,Track AcesNew for 2025!,1/5,Picture,2025_Track_AcesNew_for_2025!_109.jpg,,,
2025,HYX78,059,Mercedes-AMG Petronas Formula One Team,Track AcesNew for 2025!,1/5,Picture,2025_Track_AcesNew_for_2025!_110.jpg,,,
2025,HYX06,060,Supercharged,HW EV,5/10,Picture,2025_HW_EV_111.jpg,,,
2025,HYX64,060,Supercharged (2nd Color),HW EV,5/10,Picture,2025_HW_EV_112.jpg,,,
2025,HYX07,061,Hi-Roller II,HW Art Cars,6/10,Picture,2025_HW_Art_Cars_113.jpg,,,
2025,JBC37,061,Hi-Roller II,HW Art CarsSuper Treasure Hunt,6/10,Picture,2025_HW_Art_CarsSuper_Treasure_Hunt_114.jpg,,,
2025,JJB80,062,Datsun 240Z,HW Art Cars,4/10,Picture,2025_HW_Art_Cars_115.jpg,,,
2025,HYY44,062,Datsun 240Z (2nd Color),Red EditionTarget Exclusive,7/12,Picture,2025_Red_EditionTarget_Exclusive_116.jpg,,,
2025,JBB66,062,Datsun 240Z (3rd Color),HW Art Cars,4/10,Picture,2025_HW_Art_Cars_117.jpg,,,
2025,HYX09,063,Monteracer,X-Raycers,4/10,,2025_X-Raycers_118.jpg,,,
2025,HYX86,063,Monteracer (2nd Color),X-Raycers,4/10,Picture,2025_X-Raycers_119.jpg,,,
2025,HYX10,064,Arrow Dynamic,X-Raycers,5/10,Picture,2025_X-Raycers_120.jpg,,,
2025,,064,Arrow Dynamic (2nd Color),X-Raycers,5/10,Picture,2025_X-Raycers_121.jpg,,,
2025,HYX11,065,El Viento,X-Raycers,6/10,Picture,2025_X-Raycers_122.jpg,,,
